City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,14.38,88,74,1.79,AU,1693267653
1,arauca,7.0847,-70.7591,24.81,87,43,3.28,CO,1693267665
2,mangai,-4.05,19.5333,22.32,85,100,0.53,CD,1693267676
3,salinopolis,-0.6136,-47.3561,26.72,80,0,5.23,BR,1693267671
4,thompson,55.7435,-97.8558,12.09,94,100,3.6,CA,1693267581
5,port-aux-francais,-49.35,70.2167,3.0,98,72,10.93,TF,1693267723
6,naze,28.3667,129.4833,26.56,81,15,5.24,JP,1693267725
7,hawaiian paradise park,19.5933,-154.9731,27.24,83,75,3.09,US,1693267727
8,charters towers,-20.1,146.2667,22.43,42,0,4.33,AU,1693267728
9,grytviken,-54.2811,-36.5092,-1.64,95,100,1.46,GS,1693267731
10,vorkuta,67.5,64.0,4.67,90,21,1.71,RU,1693267733
11,igarka,67.4667,86.5833,10.0,86,100,3.95,RU,1693267734
12,camana,-16.6228,-72.7111,18.23,81,6,2.33,PE,1693267736
13,jebrail,39.3992,47.0283,20.83,78,18,2.24,AZ,1693267737
14,hobyo,5.3505,48.5268,25.06,84,29,10.72,SO,1693267739
15,port elizabeth,-33.918,25.5701,15.48,65,1,2.99,ZA,1693267740
16,wailua homesteads,22.0669,-159.378,30.44,73,75,6.17,US,1693267742
17,torata,-17.0769,-70.8433,15.91,39,0,0.66,PE,1693267743
18,edinburgh of the seven seas,-37.0676,-12.3116,11.55,70,23,7.76,SH,1693267745
19,launceston,-41.45,147.1667,13.8,82,100,9.26,AU,1693267571
20,puerto natales,-51.7236,-72.4875,1.17,94,100,1.47,CL,1693267748
21,kuanda,56.3161,116.0806,17.84,57,6,0.27,RU,1693267750
22,enewetak,11.3474,162.3373,28.89,79,75,8.13,MH,1693267751
23,tiksi,71.6872,128.8694,6.9,89,100,1.58,RU,1693267753
24,invercargill,-46.4,168.35,10.01,96,96,6.26,NZ,1693267754
25,jamestown,42.097,-79.2353,20.77,88,20,4.63,US,1693267471
26,vanimo,-2.6741,141.3028,28.04,78,98,1.59,PG,1693267758
27,alaghsas,17.0187,8.0168,27.34,54,89,5.79,NE,1693267759
28,la passe,45.5549,-0.8967,17.77,80,1,4.56,FR,1693267761
29,papatowai,-46.5619,169.4708,10.85,79,94,4.61,NZ,1693267763
30,adamstown,-25.066,-130.1015,22.11,84,100,14.03,PN,1693267678
31,lebu,-37.6167,-73.65,9.01,77,48,3.35,CL,1693267766
32,lacy-lakeview,31.6293,-97.1028,35.82,40,40,3.6,US,1693267767
33,abilene,32.4487,-99.7331,34.32,26,0,5.14,US,1693267713
34,petropavlovsk-kamchatsky,53.0452,158.6483,18.21,59,40,1.0,RU,1693267770
35,waitangi,-43.9535,-176.5597,10.46,85,95,6.26,NZ,1693267772
36,santa vitoria do palmar,-33.5189,-53.3681,9.17,89,91,2.39,BR,1693267779
37,chonchi,-42.6128,-73.8092,7.29,92,26,1.32,CL,1693267784
38,ancud,-41.8697,-73.8203,7.36,78,13,2.54,CL,1693267786
39,talnakh,69.4865,88.3972,10.57,79,86,0.15,RU,1693267787
40,dudinka,69.4058,86.1778,10.14,83,99,2.11,RU,1693267790
41,atafu village,-8.5421,-172.5159,28.55,76,84,7.28,TK,1693267792
42,hithadhoo,-0.6,73.0833,27.92,74,77,3.06,MV,1693267793
43,howard springs,-12.497,131.047,27.12,65,35,4.96,AU,1693267794
44,anadyr,64.75,177.4833,10.28,81,75,5.0,RU,1693267785
45,yemetsk,63.4721,41.7941,4.56,95,4,1.67,RU,1693267797
46,saldanha,-33.0117,17.9442,18.63,33,0,6.06,ZA,1693267799
47,bethel,41.3712,-73.414,21.54,83,0,0.0,US,1693267801
48,vilyuchinsk,52.9306,158.4028,19.03,65,49,1.41,RU,1693267803
49,olinda,-8.0089,-34.8553,24.87,88,3,3.76,BR,1693267805
50,lakatoro,-16.0999,167.4164,25.03,81,96,3.43,VU,1693267808
51,lihue,21.9789,-159.3672,30.77,65,75,6.17,US,1693267810
52,lichtenburg,-26.152,26.1597,6.83,42,39,3.83,ZA,1693267811
53,road town,18.4167,-64.6167,30.05,82,60,5.46,VG,1693267813
54,ibiza,38.9088,1.433,26.0,65,0,4.12,ES,1693267699
55,mawu,29.5923,107.3139,21.84,87,100,1.1,CN,1693267819
56,margaret river,-33.95,115.0667,12.54,78,87,3.8,AU,1693267821
57,olonkinbyen,70.9221,-8.7187,4.74,86,100,5.16,SJ,1693267822
58,iskateley,67.6803,53.1512,7.48,85,93,0.91,RU,1693267826
59,ostersund,63.1792,14.6357,11.25,93,20,6.69,SE,1693267725
60,presidente epitacio,-21.7633,-52.1156,21.17,51,67,3.8,BR,1693267834
61,kapa'a,22.0752,-159.319,31.18,73,75,6.17,US,1693267836
62,aljezur,37.3191,-8.8033,17.63,84,64,6.09,PT,1693267837
63,blackmans bay,-43.0167,147.3167,14.74,69,74,3.06,AU,1693267839
64,college,64.8569,-147.8028,13.37,68,75,1.54,US,1693267841
65,el calafate,-50.3408,-72.2768,2.1,76,88,0.82,AR,1693267843
66,nabire,-3.3667,135.4833,28.43,71,99,1.67,ID,1693267845
67,port mathurin,-19.6833,63.4167,22.56,75,82,9.47,MU,1693267847
68,bhanpura,24.513,75.7469,23.83,85,6,7.35,IN,1693267848
69,katsuura,35.1333,140.3,28.18,78,4,5.36,JP,1693267850
70,hillsboro,45.5229,-122.9898,22.16,70,100,1.79,US,1693267851
71,avarua,-21.2078,-159.775,23.03,60,100,3.09,CK,1693267558
72,val-des-monts,45.6501,-75.666,19.82,70,3,1.12,CA,1693267854
73,walvis bay,-22.9575,14.5053,17.27,44,67,1.71,NA,1693267856
74,kodiak,57.79,-152.4072,11.73,100,100,2.57,US,1693267859
75,ushuaia,-54.8,-68.3,3.81,65,20,3.6,AR,1693267860
76,mount pearl,47.5166,-52.7813,16.75,88,3,3.13,CA,1693267862
77,juybar,36.6412,52.9124,23.89,59,1,3.13,IR,1693267863
78,pisco,-13.7,-76.2167,19.03,82,0,6.17,PE,1693267865
79,west island,-12.1568,96.8225,24.99,73,72,3.09,CC,1693267867
80,yellowknife,62.456,-114.3525,24.67,57,25,0.89,CA,1693267631
81,fale old settlement,-9.3852,-171.2468,28.39,76,83,7.07,TK,1693267870
82,qui nhon,13.7667,109.2333,29.49,66,100,5.03,VN,1693267871
83,ilulissat,69.2167,-51.1,7.01,87,75,5.14,GL,1693267873
84,wau,7.7029,27.9953,21.04,90,75,0.18,SS,1693267874
85,whitehorse,60.7161,-135.0538,27.83,42,33,0.45,CA,1693267876
86,hovd,48.0056,91.6419,21.89,23,100,3.23,MN,1693267878
87,champerico,14.3,-91.9167,29.05,73,79,1.75,GT,1693267879
